,NN,NN.1,NN.2,UU,UU.1,UU.2,pval.UU,padj.UU
SPU_005001,0,0,0,0,0,0,NA,NA
SPU_002155,5.80249467103153,5.75525353432735,5.61454925623114,5.92084657397313,5.86193129479381,5.94892882341419,0.0860320963947315,0.308083645945901
SPU_006516,5.1000709679894,5.01912213157761,4.90258041751235,5.10178536819173,5.19833413719008,5.10554007245142,0.230405027762587,0.539191972947565
SPU_024522,2.54515414028391,2.45485297842259,2.55488389940455,2.59617481932502,2.529532274951,2.5329459014205,0.602009967172003,0.837321838202548
SPU_020659,8.06275416815781,7.96971810075855,8.13157020756259,8.0933238090461,8.07042132647643,7.94506684673639,0.855244428438491,0.952560916721008
SPU_000622,0,0,0,0,0,0,NA,NA
SPU_026717,4.25707986385844,4.24270805809162,4.1200902052552,4.04590997208242,4.1397012551548,4.16833213623767,0.335315402280836,0.650796926600127
SPU_024807,4.82005118601896,4.50503038176845,4.74182673969609,4.70720295688732,4.66868955370742,4.59842248134912,0.728694022575072,0.901280611801135
SPU_000211,2.29415812715852,2.27612304767631,2.28833845060755,2.27691394420097,2.29498459718898,2.27290600068942,0.937392436430124,0.980097468697432
SPU_000210,7.28448935250943,7.3243808547256,7.44085140429011,7.40902197286428,7.36989644364354,7.28125495163448,0.965120266524758,0.989133030259319
SPU_022558,0,0,0,0,0,0,NA,NA
SPU_023010,5.72403144093068,5.82594463301167,5.96168094992385,5.64006944533074,5.59842566320373,5.83238607370435,0.185871513461334,0.481132642845528
SPU_008694,7.46846031770906,7.49122494393,7.3536014128018,7.36259680642999,7.43560997555007,7.39817532820507,0.671371865826731,0.874601693980496
SPU_008693,9.78999103720417,9.78573794617065,9.68286856363435,9.93931950759814,10.0794479359192,10.1557003961005,0.000105977297988415,0.0022001266824269
SPU_008692,7.88044623393214,7.84439852254423,7.96165132895648,7.9484565249585,7.99253150510043,8.12904942372401,0.16850923597312,0.4574597636119
SPU_024560,4.45899359430361,4.41861066233731,4.61011510571549,4.35296845304897,4.34432424716861,4.31600718781263,0.0964763957127481,0.330666648200894
SPU_024559,-1.97530850416975,-1.97532654000993,-1.96792602117922,-1.97529337890764,-1.97456418808034,-1.97359753573851,0.879380974083601,NA
SPU_009591,5.12394515674592,5.12177268948341,4.92602486968552,4.91262719102945,4.97080361207999,4.95665150943293,0.273224776871814,0.587964496625255
SPU_000987,0,0,0,0,0,0,NA,NA
SPU_003727,4.01717431785599,4.0024665431184,3.91994235316943,3.90631389941861,3.88586314900632,3.77077975426376,0.171310975587024,0.460995453551263
SPU_017906,0.422959055853923,0.422791255267354,0.402474492503273,0.403813919711857,0.38579147353497,0.440257000310647,0.853912133794147,NA
SPU_024272,0,0,0,0,0,0,NA,NA
SPU_023586,2.96010913327539,3.066482148033,3.07466062502527,3.01554095273377,3.11728235616117,3.20567438607926,0.307968777265607,0.62569130539475
ENSRNA022742989,0,0,0,0,0,0,NA,NA
SPU_007958,5.16797885726922,4.93826204731087,5.1517499740225,5.21983633339969,4.89383972216374,5.09458240323998,0.914460702329103,0.973795853297235
SPU_000834,0,0,0,0,0,0,NA,NA
SPU_008173,10.3670744188248,10.3818049032343,10.2743408381112,10.4531255057698,10.4715969159012,10.6048817638145,0.0215671478116855,0.121088235396983
SPU_008174,4.34247940781875,4.57072131880837,4.41968668038646,4.45244952946227,4.31555301185501,4.43786904509907,0.65665954413536,0.866582729478439
SPU_008175,9.84800280625489,9.84365623929635,9.76016795672729,9.93957695923366,9.87642796176248,9.89157295210766,0.231120617010207,0.539912439358901
SPU_011347,1.87076653589935,1.92409115107359,1.84945939868928,1.8893072186528,1.96368337610711,1.8503335544346,0.709850808162605,0.893173382251264
SPU_011899,1.82018662923025,1.92806475142161,1.83635197685878,1.91169613266738,1.93084086008405,1.83711103542274,0.575319846070557,0.821877204853512
SPU_004174,2.95235054845937,2.84690308959538,2.84196502105422,2.90171008863643,3.0742625791868,2.94056609072884,0.212672647472356,0.516963313284446
SPU_024338,5.03033384579062,4.96038912489098,4.97357586287052,4.87812228653466,5.07873091053481,5.01316576700111,0.971648099473728,0.991489658528371
SPU_019184,5.22899082457896,5.35821622582139,5.3137820055182,5.18658277847727,5.20564299388187,5.23883341219105,0.373154801880113,0.68101900973577
SPU_020516,2.2039342051288,2.2580200716722,2.16348984961851,2.32756710354496,2.25920659048927,2.26112345232227,0.217109726132352,0.523066564362272
SPU_020515,3.67472261844897,3.59598425548143,3.69068317183045,3.76187129666568,3.55761125522969,3.68232655083192,0.851720545848907,0.951313287074388
SPU_020514,-1.9673957052457,-1.97541384747942,-1.97562539904207,-1.97537895184769,-1.97461161985886,-1.97359440565897,0.879380974083601,NA
SPU_021939,5.59283492635474,5.44092074943573,5.5103530440501,5.3720336000161,5.59012819785818,5.36559517143246,0.533923667695335,0.796845183980342
SPU_019857,1.89358661132671,1.89340792920044,1.92872441793767,2.02379214260759,1.96669851104403,2.03655157890116,0.0476746045983266,0.209440638542269
SPU_002628,6.12437568062884,5.95367723003957,5.87283129225723,6.23239456751349,6.11944902543475,6.10708537904117,0.129785121381002,0.396546920734972
SPU_002627,-1.50043601813551,-1.50048353345424,-1.50101316201827,-1.50039617071821,-1.49847512161661,-1.45587597454374,0.466616183598649,NA
SPU_002629,0.821591596627534,0.780917692958685,0.800005177751599,0.821749409752457,0.783371699140148,0.917653116336365,0.314985743301563,NA
SPU_019792,-0.750817687985448,-0.750833878606038,-0.697841988131331,-0.731930438692988,-0.750120020002917,-0.747850686961483,0.710053727394045,NA
SPU_019791,1.50760094215798,1.4355662452379,1.46848500609349,1.49043105948886,1.42294936815266,1.40558144390591,0.533582258253989,0.796720480490553
SPU_013785,6.56142841522725,6.63805349849548,6.53057763153553,6.70698070943305,6.67041406938934,6.54082839309503,0.5198355857539,0.788515130444408
SPU_013786,4.68771451356307,4.62331016140592,4.64303581930754,4.75996219837895,4.63319027607098,4.64807502757716,0.750825472543595,0.912024603879476
SPU_008600,5.3756439820109,5.41725533203336,5.33969632599571,5.54272147425922,5.81209743112896,5.64820181634586,0.00666773171211456,0.0527359548681279
SPU_008599,10.1934336754134,10.2118406890366,10.1419287910021,10.4596626219179,10.5108738850295,10.5710299134081,1.69753607822342e-06,8.13194350237315e-05
